SUM of Total Inmates in Census since 1997,,,288697,,,,,,,
DMAX number of Inmates Sentenced since 1997,,,573,,,,,,,
DAVERAGE number of Inmates in Census in 2014,,,247.8085837,,,,,,,
DVARP of Other Unsentenced Inmates since 1997,,,318.0657297,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Facility Name,Year,Census,Sentenced,Civil,Federal,Technical Parole Violators,State Readies,Other Unsentenced,Boarded Out,Boarded In
Madison County Penitentiary,2009,83,39,5,5,2,0,32,6,3
Monroe County Correctional Facility,2009,343,267,0,1,1,1,73,0,12
Monroe County Penitentiary,2009,1023,184,1,72,70,29,667,1,5
Montgomery County Penitentiary,2009,107,27,2,8,4,2,65,0,4
Nassau County Correctional Facility,2009,1547,254,1,127,17,9,1139,5,7
Niagara County Penitentiary,2009,470,135,0,90,22,16,207,0,2
Oneida County Penitentiary,2009,461,170,0,25,10,8,246,0,25
Onondaga County Correctional Facility,2009,402,289,6,57,47,0,4,19,0
Onondaga County Penitentiary,2009,580,19,3,3,2,11,543,1,28
Ontario County Penitentiary,2009,213,84,0,2,10,6,112,0,2
Orange County Penitentiary,2009,568,119,15,117,36,8,273,2,5
Orleans County Penitentiary,2009,75,28,0,0,4,0,42,1,1
Oswego County Penitentiary,2009,115,45,0,0,6,4,60,4,1
Otsego County Penitentiary,2009,70,27,0,0,2,1,40,1,0
Putnam County Penitentiary,2009,107,18,2,11,1,1,74,2,1
Rensselaer County Penitentiary,2009,212,81,10,3,18,3,98,2,0
Rockland County Penitentiary,2009,219,51,0,2,13,2,152,1,2
Saratoga County Penitentiary,2009,165,56,3,0,10,1,95,0,0
Schenectady County Penitentiary,2009,284,50,3,5,26,5,196,1,0
Schoharie County Penitentiary,2009,39,9,0,10,2,0,17,3,8
Schuyler County Penitentiary,2009,16,8,0,0,1,0,6,2,1
Seneca County Penitentiary,2009,72,22,1,10,2,0,37,0,2
Steuben County Penitentiary,2009,180,42,1,45,9,2,82,1,3
St Lawrence County Penitentiary,2009,102,32,0,0,11,1,58,12,0
Suffolk Correctional Facility - Riverhead,2009,1017,251,9,1,37,27,693,36,7
Suffolk Correctional Facility - Yaphank,2009,590,209,5,0,36,0,340,0,0
Sullivan County Penitentiary,2009,160,44,0,0,11,2,103,2,0
